Airport,Degree_Centrality,Betweenness,IATA,Closeness,Connectivity_Score,Total_Profit,Hub_Type
Indira Gandhi International Airport,1.5,0.37753248682393076,DEL,0.7906976744186046,0.9091525296132933,19062917780,Major Hub
Chhatrapati Shivaji International Airport,1.2647058823529411,0.25600697579307197,BOM,0.723404255319149,0.752965994322235,18682610775,Major Hub
Dubai International Airport,0.29411764705882354,0.0021086533787068548,DXB,0.5151515151515151,0.2215208232053152,11203724275,Major Hub
Chennai International Airport,0.7058823529411764,0.09458527212537904,MAA,0.6071428571428571,0.4416156214551936,7046954625,Major Hub
Devi Ahilyabai Holkar Airport,0.23529411764705882,0.002574767280649633,IDR,0.4927536231884058,0.19369827860876454,6477661205,Major Hub
Suvarnabhumi Airport,0.11764705882352941,0.0,BKK,0.4788732394366197,0.1428334714167357,5238791710,Major Hub
Netaji Subhash Chandra Bose International Airport,1.0588235294117647,0.18072329482757288,CCU,0.68,0.6318187296957352,4156203170,Major Hub
Dabolim Airport,0.23529411764705882,0.0,GOI,0.5,0.19411764705882353,3790238475,Major Hub
Dr. Babasaheb Ambedkar International Airport,0.3529411764705882,0.003819709702062643,NAG,0.5396825396825397,0.25064086240556827,3538251600,Major Hub
Sheikh ul Alam Airport,0.1764705882352941,0.00166369578134284,SXR,0.4857142857142857,0.16839657074951192,2994415470,Major Hub
Cochin International Airport,0.3529411764705882,0.0024651596175660345,COK,0.5230769230769231,0.24677791905064633,2668969425,Major Hub
Lokpriya Gopinath Bordoloi International Airport,0.4411764705882353,0.042065614124437656,GAU,0.5573770491803278,0.30477224372113476,2383544170,Major Hub
Vadodara Airport,0.11764705882352941,0.0,BDQ,0.4788732394366197,0.1428334714167357,2315259240,Major Hub
Lal Bahadur Shastri Airport,0.058823529411764705,0.0,VNS,0.4473684210526316,0.1130030959752322,2303539820,Major Hub
Coimbatore International Airport,0.1764705882352941,0.0,CJB,0.5,0.17058823529411765,2069547080,Major Hub
Chaudhary Charan Singh International Airport,0.23529411764705882,0.0015668526363713528,LKO,0.5,0.19474438811337208,1834721775,Major Hub
Dibrugarh Airport,0.11764705882352941,0.0,DIB,0.4788732394366197,0.1428334714167357,1795522600,Major Hub
Sardar Vallabhbhai Patel International Airport,0.47058823529411764,0.007053730583142348,AMD,0.5666666666666667,0.30439011968423735,1753000830,Major Hub
Agartala Airport,0.1764705882352941,0.0,IXA,0.41975308641975306,0.15453885257806826,1746154890,Major Hub
Biju Patnaik Airport,0.29411764705882354,0.010676088617265093,BBI,0.53125,0.22816749427043548,1453205160,Major Hub
Imphal Airport,0.1764705882352941,0.0,IMF,0.41975308641975306,0.15453885257806826,986142035,Major Hub
Pune Airport,0.3529411764705882,0.00106951871657754,PNQ,0.53125,0.24785427807486632,811690650,Major Hub
Bagdogra Airport,0.1764705882352941,0.0,IXB,0.4857142857142857,0.1677310924369748,578014730,Major Hub
Raipur Airport,0.1764705882352941,0.0011883541295306,RPR,0.4857142857142857,0.16820643408878702,366123470,Major Hub
Kempegowda International Airport,0.8823529411764706,0.06908909569337375,BLR,0.6415094339622641,0.5088787015403906,336501165,Major Hub
Muscat International Airport,0.058823529411764705,0.0,MCT,0.425,0.10852941176470589,296634770,Major Hub
Jaipur International Airport,0.23529411764705882,0.0,JAI,0.5,0.19411764705882353,209327865,Major Hub
Chandigarh Airport,0.058823529411764705,0.0,IXC,0.425,0.10852941176470589,-740338260,Major Hub
Lok Nayak Jayaprakash Airport,0.2647058823529412,0.002815267521149874,PAT,0.5230769230769231,0.21162384456502106,-983739970,Major Hub
Birsa Munda Airport,0.20588235294117646,0.0007494733430562307,IXR,0.4857142857142857,0.17979558765655024,-1157123000,Major Hub
Singapore Changi Airport,0.058823529411764705,0.0,SIN,0.38202247191011235,0.09993390614672835,-1342689365,Regional Hub
Jammu Airport,0.14705882352941177,0.0,IXJ,0.4857142857142857,0.15596638655462186,-1659186340,Major Hub
Vishakhapatnam Airport,0.1764705882352941,0.00071301247771836,VTZ,0.41975308641975306,0.15482405756915563,-2745061340,Major Hub
Tribhuvan International Airport,0.058823529411764705,0.0,KTM,0.4473684210526316,0.1130030959752322,-3488462680,Major Hub
Trivandrum International Airport,0.29411764705882354,0.00035650623885918,TRV,0.4657534246575342,0.21094034625057995,-5743730885,Major Hub
